TF
MSX2
ESRRA
VSX2
HOXC13
THRA
THRA
LHX6
LHX6
NR4A2
PDX1
PDX1
PDX1
LHX2
CEBPD
TEF
TBX5
TBX5
HNF1B
HOXD13
HLF
EWSR1-FLI1
NFIL3
Esrrb
NFYA
ISL2
DBP
IRF7
NKX3-2
Sox1
Sox1
Pax4
NR2F1
ZNF524
THRB
THRB
RARG
Hoxc10
ESRRG
CEBPB
NFATC1
NFATC1
HOXD13
Lhx8
Lhx8
Rarb
NR4A2
NR4A2
Gfi
SOX14
SOX14
RARA
MGA
TBX4
TBX4
HOXA13
NFIL3
NFIL3
LHX9
EN1
Stat3
IRF9
PRDM1
PRDM1
HOXB13
HOXA13
HOXC10
HOXC13
RORA
VDR
Hoxd9
SPI1
IRF3
CEBPE
RORA
HNF1A
HOXB13
IRF2
CEBPG
RXR
AREB6
GAF
FOXP3
AR
NFY
CEBP
ACAAT
ZEC
HMGIY
EVI1
NKX29
BCL6
BCL6
ERR3
GATA3
HOXA13
AR
MAFB
ZTA
NR2F2
IRF
IRF
IRF
IRF
IRF2
IRF2
FOXO3A
CEBP
IRF3
STAT5B
HFH4
HFH4
TR4
E2A
PU1
PU1
PU1
HOXD13
TCFAP2E
TCFAP2E
TCFAP2E
TCFAP2E
TCFAP2E
TCFAP2E
HOXA13
CDX
HOXC13
PAX
HMGA2
ELF4
ELF4
ELF4
BACH1
CRX
POU3F2
PR
DBP
ZFP105
ZFP105
ZFP105
ZFP105
ZFP105
HOXB13
E4BP4
COUP
HNF1
NKX31
SOX7
E12
DOBOX4
IRF2
CEBPD
IRX4
AP1
HNF1B
IRF3
IRF3
HNF3
HNF3ALPHA
IRF
IRF
PAX2
HNF1
NKX52
ISRE
ERR1
HMX1
TCF7
AP1
PNR
ISGF3G
AP1
IK3
NR1B1
NR1B1
BLIMP1
BLIMP1
NKX23
NKX23
ICSBP
FOXO1
NKX32
IRF7
GATA4
GR
PTF1BETA
ELF1
ELF1
GCNF
AP1
FXR
S8
CAAT
CREBP1CJUN
GFI1
T3R
POU6F1
TAL1
TAL1
MYOD
MYOD
FOXL1
FOXJ3
ZSCAN4
ZSCAN4
NKX3A
GFI1B
ERR1
PARP
CDP
AIRE
GATA6
NFY
NKX22
FRA1
MTATA
NRF1
PLZF
SMAD
MEF3
RXR
IRF1
IRF1
IRF1
RARA
STAT5A
STAT5A
SRF
SRF
SRF
SRF
SRF
SRF
POU6F1
EWSR1FLI1
ERR1
HOXD8
IPF1
HLF
SOX15
MEF2
GATA5
FOXO4
HMEF2
CP2
CEBP
HMX3
MAFK
MAFK
CMAF
HOXD10
HOXD10
HNF1A
PBX1
CEBPE
CEBPE
TCF3
TCF3
TCF3
TCF3
AR
PAX4
PAX4
HOXA4
CEBPA
