,DCIS_Pro mean value,DCIS_Pure mean value,FC(DCIS_Pro vs DCIS_Pure),ranksums p value,adjusted ranksums p value
ARHGAP4,5.061966203767442,6.173924151333334,0.8198944592920289,0.5011285766925606,0.541169211022773
ARHGAP5,2.583821239395349,2.2069823791333336,1.1707484680552807,0.008700876480451487,0.012850045897716728
ARHGAP6,0.3337781210232558,5.4018314464333335,0.06178980672261432,3.7147251883325734e-11,2.451686489998561e-10
ARHGDIA,6.700598041720931,47.31070282663333,0.1416296449087808,6.804883278976411e-12,6.433439526264006e-11
ARHGDIB,33.843122817209306,20.7998283891,1.6270866366832406,9.117189112490504e-05,0.0001704265449803903
ARL1,5.134165832465117,4.587569207333333,1.119147330629484,0.007878694847521116,0.011703758243606378
ARL2,3.3625345711860466,2.3460728658666667,1.4332609272746892,0.007620519237504231,0.011343430206328851
ARL3,10.94797623827907,19.357114405833332,0.5655789395437917,0.05664682740975892,0.07408707803595709
ARR3,8.213440209372093,3.6382120786,2.2575484968794512,6.569150025665192e-06,1.414002824680846e-05
ARRB2,4.042759286465116,4.372899286966667,0.9245031776776734,0.7281635496735381,0.758019348101277
ARSA,30.84711494974419,8.242891853633333,3.7422685505872892,1.0085183347974013e-08,3.458975336181962e-08
STS,3.5514947397906975,11.609198330833332,0.30592075685003517,0.21745976801529943,0.25204850741704926
ARSD,16.61101117772093,3.7187180158,4.466864953767525,1.3142303461960433e-09,5.452376523274993e-09
ARSL,5.611505696488372,5.7974639325999995,0.9679242099177269,0.09261001829569551,0.11643208941039943
ARVCF,8.029274777813955,2.5683533053666663,3.1262345258483313,4.006970114928297e-11,2.614038349024835e-10
ASAH1,8.95139247716279,26.163029087533335,0.34213899496171574,0.19726929272492788,0.22990392864047007
ASGR1,3.0939174250697676,2.1015481765,1.472208660104332,0.0008343167586399073,0.001385745011438592
ASGR2,2.794702068767442,1.6225664157666666,1.7223961013928286,0.00929077705036945,0.013660432358025386
ASL,5.133961046162791,10.691128090266666,0.48020760791714884,0.00021565648041183352,0.00038371061504246357
GET3,5.966636781534884,8.574446672233334,0.6958626031061187,0.8576309442489339,0.8753572293173567
ASPA,2.05576667627907,2.006898231666667,1.0243502355233127,0.8576309442489339,0.8753572293173567
ASPH,8.828054516488372,5.762145983633333,1.5320775526276798,3.6915008081987575e-05,7.212370144981414e-05
ASS1,4.105975370093023,11.6729366977,0.35175170365672004,5.7447863793947935e-08,1.6991606001780413e-07
ASTN1,3.2371851218372094,2.0585612889666667,1.5725473607162674,0.059618803637317475,0.07765457317130409
SERPINC1,12.136281243651162,30.2284703707,0.40148512626741034,0.8225718383335933,0.8436931962850238
ZFHX3,2.786685474255814,2.2764196506333336,1.2241527933922538,0.08028078878688477,0.10195626767366416
ATIC,5.130762993906977,50.750195078333334,0.1010983895921504,7.197631430636773e-13,1.3361150608283031e-11
ATM,52.271600262325585,3.8117753646666666,13.713190117880057,4.770305427572316e-13,1.3025822461481415e-11
RERE,1.9188988951860466,2.5599359672666666,0.7495886302323891,0.0018275539124753925,0.0029237413661629286
ATP1A2,5.702158956837209,2.6762883578333336,2.1306220385958548,3.932873701526716e-08,1.201676407921429e-07
ATP12A,14.212711124116277,3.6878855418333334,3.8538916034391915,0.1301250591494386,0.16008854934784192
ATP1A4,8.847625976511628,5.536309413833333,1.5981090136336047,0.213307182384327,0.24746098198148297
ATP1B1,16.21313587651163,10.035319532733332,1.6156073380252036,0.0006017001549722357,0.0010181129590509364
ATP2A2,80.63565545302326,23.178182754966667,3.4789463999607344,4.239299206887019e-12,4.650428943054567e-11
ATP2B2,14.631187356186047,2.3196653252333332,6.307456164916509,1.7757283096646698e-10,9.327310938785953e-10
ATP2B3,5.117730360976744,2.5752756172333333,1.9872553938420066,1.7355721187537757e-09,7.007963736455111e-09
ATP2B4,132.9145056772093,6.5414766783000005,20.318731108241316,4.770305427572316e-13,1.3025822461481415e-11
ATP5F1C,2.6250693216744185,8.251847328633334,0.31811898804351496,0.004101461152707636,0.00630761900112536
ATP5F1D,7.045513624767442,10.7300914293,0.6566126366387421,0.028791910516641386,0.03938818025582131
ATP5PB,8.794965765697675,32.50039237566667,0.27061106413849156,5.3740096037222564e-12,5.605058957156385e-11
ATP5PF,4.521944868093023,13.9530509945,0.32408287405209646,0.2435984920822616,0.28000522717011145
ATP6V1A,10.69634152211628,9.829295680966668,1.0882103732852955,0.3818299108201447,0.4230571165556628
ATP6V1B1,3.1684296919069763,5.0314487241000005,0.6297251280194113,0.12453034855940223,0.1534654004739072
ATP6V1B2,2.304223086232558,25.0163284564,0.09210876369202219,2.6292908812026983e-12,3.248611300102994e-11
ATP6V1E1,15.667238261069768,4.5537847574,3.4404872201326957,6.290717234354962e-12,6.298559992061835e-11
ATP6V0A1,10.200310117720932,4.867496042466667,2.0955970027973136,4.523022649624517e-09,1.6686847826552346e-08
ATP6AP1,35.93816315569767,2.898963640566667,12.396900275945772,9.980189655184586e-13,1.611510200512821e-11
ATP5PO,30.11245946572093,21.1991145885,1.4204583564096684,0.04019095341329714,0.053748795629579404
ATRX,3.8242075844418606,2.2203693530666664,1.7223294760216585,4.06368651191286e-06,8.98924216950976e-06
KIF1A,3.38822547127907,1.9583190608,1.7301702971194763,8.565022742597852e-07,2.085426552246699e-06
AUH,3.341292722348837,2.4963258367333334,1.3384842127505352,0.003958338387425701,0.006099806650548251
AUP1,8.681320243465116,6.667736188566667,1.3019891606316387,0.17489496973540808,0.2053337187960754
AVPR1B,16.060926824558138,2.9977022475000004,5.3577458661721655,3.7147251883325734e-11,2.451686489998561e-10
AXL,2.8968420168139533,2.2211247118333333,1.3042230368158292,5.088665522262582e-07,1.2815307345140243e-06
AZGP1,7.172535123418605,323.67809888933334,0.022159470004397545,4.770305427572316e-13,1.3025822461481415e-11
B2M,130.55544557765117,28.405352286866666,4.596156536245953,4.551776684865965e-10,2.147003413736314e-09
BAG1,11.762830230697674,2.9421611872333333,3.9980237254638222,2.740527081883383e-11,1.903400215860653e-10
ADGRB1,9.91805010855814,30.256960989733333,0.3277939946422078,1.0698049520687551e-07,3.0241114789953935e-07
ADGRB2,3.8636475069534884,3.5571148313666665,1.0861745234884785,0.5750730514000788,0.6133817762696633
BAX,30.412633214697678,7.9172429995,3.8413161269166975,2.2199766922819914e-07,5.926281376404987e-07
BBS1,3.7778082532558135,1.2405605232333334,3.0452430030656847,0.0006017001549722357,0.0010181129590509364
BBS2,17.796658818441863,4.084622873133333,4.356989462968453,4.236963987803747e-10,2.0197386282379686e-09
BBS4,3.2204015271627906,2.5811418060333335,1.2476654787564203,0.5011285766925606,0.541169211022773
BCKDHB,5.445474733860466,4.820564161266666,1.1296343232219517,0.26220623468425097,0.29961097312018764
CCND1,4.704960911511628,3.3688566656666667,1.3966046580318245,8.306406289653156e-05,0.00015609292312046492
BCL2L1,1.201772545976744,2.466922875033333,0.48715448631952296,0.007878694847521116,0.011703758243606378
HCN2,6.85430935672093,3.645050030766667,1.8804431486168809,2.8889830258358416e-05,5.72432047672109e-05
BCR,2.759499427348837,2.4843438913,1.110755816460198,0.2919194170221646,0.33098516750937806
BDH1,4.0023881208837215,15.843645932366666,0.2526178720459363,4.523022649624517e-09,1.6686847826552346e-08
CFB,3.4001929430930233,22.107268826833334,0.15380429711724233,3.1877536837479296e-05,6.283675682768331e-05
BFSP1,5.006683293534883,3.6380891844333334,1.376184870606662,0.08834157832706283,0.11138689007541329
BGLAP,18.612279075651163,4.153236329133334,4.481391763115737,2.3775170390362667e-10,1.207272296128266e-09
BGN,5.991076101348837,193.34621055466667,0.030986260781433426,4.770305427572316e-13,1.3025822461481415e-11
BICD1,3.464130950744186,2.2293220489666665,1.5538943565151913,0.005813275434661528,0.008793969451521786
BID,4.713108499186046,16.223252882466667,0.2905156279897328,9.439633270366919e-09,3.258809141912417e-08
BLK,11.266962310930232,2.5511843136666665,4.416365470175259,4.588623593894487e-12,4.9799294039285895e-11
BLM,4.401871893953488,4.7001626925333335,0.9365360694739973,0.40671864473196984,0.4475136861815062
BLVRA,15.714015186139536,54.30130928933333,0.28938556715843894,5.81468355311036e-12,5.93486664460943e-11
BLVRB,10.817792976790697,75.27505290093333,0.14371020092177933,1.7301749684630328e-11,1.296696455981209e-10
BMP1,5.65816814788372,2.7209675102333337,2.0794692059364244,8.040246930869309e-10,3.4863918135304002e-09
BMP3,7.235312176046512,2.6483070239,2.7320518771994604,2.9554473922065526e-10,1.4627691131261687e-09
BMPR2,5.55812550527907,1.5158971193333335,3.666558524580772,1.50996177313734e-06,3.5397920873102887e-06
